filename,extension,link
epitopes,csv,https://www.hiv.lanl.gov/content/immunology/tables/ab_summary.csv
Gag,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?au_filter=1&dna_range_span=overlap&protein=9&epitope_exact=embed&note_filter=1&kw_filter=1&range_span=overlap
p17,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?au_filter=1&protein=13&dna_range_span=overlap&epitope_exact=embed&note_filter=1&range_span=overlap&kw_filter=1
p24,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?kw_filter=1&range_span=overlap&epitope_exact=embed&note_filter=1&dna_range_span=overlap&protein=11&au_filter=1
p2p7p1p6,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?au_filter=1&kw_filter=1&range_span=overlap&epitope_exact=embed&note_filter=1&protein=12&dna_range_span=overlap
pol,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?kw_filter=1&range_span=overlap&epitope_exact=embed&note_filter=1&protein=6&dna_range_span=overlap&au_filter=1
Protease,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?au_filter=1&note_filter=1&epitope_exact=embed&range_span=overlap&kw_filter=1&dna_range_span=overlap&protein=16
RT,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?dna_range_span=overlap&protein=19&kw_filter=1&range_span=overlap&note_filter=1&epitope_exact=embed&au_filter=1
Integrase,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?dna_range_span=overlap&protein=3&note_filter=1&epitope_exact=embed&range_span=overlap&kw_filter=1&au_filter=1
Vif,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?au_filter=1&dna_range_span=overlap&protein=5&note_filter=1&epitope_exact=embed&kw_filter=1&range_span=overlap
Vpr,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?protein=20&dna_range_span=overlap&kw_filter=1&range_span=overlap&epitope_exact=embed&note_filter=1&au_filter=1
Tat,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?au_filter=1&dna_range_span=overlap&protein=17&epitope_exact=embed&note_filter=1&kw_filter=1&range_span=overlap
Rev,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?au_filter=1&range_span=overlap&kw_filter=1&note_filter=1&epitope_exact=embed&protein=21&dna_range_span=overlap
Vpu,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?kw_filter=1&range_span=overlap&note_filter=1&epitope_exact=embed&dna_range_span=overlap&protein=2&au_filter=1
gp160,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?protein=18&dna_range_span=overlap&range_span=overlap&kw_filter=1&epitope_exact=embed&note_filter=1&au_filter=1
Env,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?dna_range_span=overlap&protein=10&kw_filter=1&range_span=overlap&note_filter=1&epitope_exact=embed&au_filter=1
Nef,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?protein=4&dna_range_span=overlap&kw_filter=1&range_span=overlap&note_filter=1&epitope_exact=embed&au_filter=1
ASP,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?au_filter=1&protein=50061&dna_range_span=overlap&kw_filter=1&range_span=overlap&epitope_exact=embed&note_filter=1
HIV-1,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?au_filter=1&dna_range_span=overlap&protein=39&kw_filter=1&range_span=overlap&note_filter=1&epitope_exact=embed
non-HIV,csv,https://www.hiv.lanl.gov/mojo/immunology/search/ab/results.csv?protein=50062&dna_range_span=overlap&note_filter=1&epitope_exact=embed&range_span=overlap&kw_filter=1&au_filter=1
